assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,pitchcolor,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,stadiummowpattern_code,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,gender,cksupport1,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,stanchionflamethrower,stadiumgoalnetpattern,captainid,personalityid,prev_el_champ,leftfreekicktakerid,cksupport2,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,profitability,utcoffset,penaltytakerid,pitchlinecolor,freekicktakerid,crowdskintonecode,internationalprestige,cksupport3,haslargeflag,trainingstadium,form,genericint1,trait1vstrong,matchdayattackrating
110078,215,230,4200,204,30,30,1924,30,30,30,50,1,44,30,1,30,30,30,30,Petrolul Ploiești,30,0,-1,0,220177,0,5,-1,50,0,1,4,0,3,0,0,15073,0,1,904,310,0,1,64,1,65,64,65,26,3,65,1,-1,65,1,0,0,220177,270400,0,220177,0,0,0,0,3,2,220177,4,110078,0,4214848,0,0,0,220177,0,0,237989,0,4,0,5,0,65,24,7,2,237989,0,220177,2,1,0,0,316,0,-1,526400,65
110081,132,37,0,255,110,255,1880,20,24,70,50,1,54,150,1,70,20,255,110,Northern Ireland,55,0,-1,0,268630,0,10,-1,30,0,2,4,0,0,0,0,18000,0,0,0,1355,0,1,69,1,69,69,65,-5,3,71,0,-1,71,0,0,0,268630,4202824,0,231292,0,0,0,0,0,1,264298,0,110081,0,545096,0,0,0,264298,0,0,268630,0,0,0,3,0,69,110,0,0,220039,0,268630,2,2,0,0,316,0,-1,526664,65
110093,1,206,145000,26,255,206,1904,255,255,255,26,1,-34,255,1,255,255,1,255,Independiente,255,0,-1,0,214968,0,8,-1,65,0,1,5,0,7,0,1,42069,0,0,30,101085,0,1,70,1,71,71,74,-58,1,70,1,-1,69,1,1,0,214968,131860,2,214968,0,0,7,0,0,2,214968,6,110093,2,181012,0,0,0,215057,0,0,214968,0,16,0,1,0,71,129,10,-3,226286,0,214968,7,8,0,0,316,0,-1,263444,74
110176,1,1,6900,255,255,255,1970,255,1,255,1,1,48,1,1,255,255,255,255,SSV Ulm 1846,1,0,-1,0,224430,0,1,-1,30,0,2,3,2,2,0,0,19500,0,1,931,36,0,1,65,3,66,66,65,10,3,68,1,-1,66,1,0,0,276365,4202560,0,224430,0,0,0,0,0,1,224430,3,110176,0,528448,0,0,0,231555,0,0,224430,0,0,0,4,0,65,115,8,1,262838,0,224430,2,1,0,0,316,0,-1,526400,65
110178,1,1,10101,255,255,255,1916,255,58,1,1,1,49,127,1,255,1,255,1,SV Sandhausen,138,0,-1,0,212238,4,9,-1,50,0,2,4,0,1,0,0,15414,0,1,426,1832,0,1,65,3,64,64,65,8,2,64,1,-1,65,1,0,0,209485,263240,1,229923,0,0,0,0,0,3,212238,1,110178,0,4202568,0,0,1,262534,0,0,212238,0,0,0,4,0,65,123,6,1,212238,0,212238,2,1,0,0,316,0,-1,528456,65
110206,128,0,2900,0,30,255,1964,30,30,30,0,1,50,30,1,30,30,255,30,GKS Katowice,30,0,-1,0,235471,0,2,-1,30,0,2,4,0,2,0,0,6710,0,1,958,420,0,1,63,1,64,62,64,19,3,64,1,-1,64,1,0,0,235471,4202560,0,235471,0,0,0,0,3,3,235471,7,110206,0,544832,0,0,0,244160,0,0,235471,0,0,0,5,0,63,127,5,1,244160,0,235471,2,1,0,0,316,0,-1,526400,65
110242,120,36,2000,255,250,255,1919,250,1,245,60,1,43,1,1,250,245,255,245,Racing de Ferrol,1,0,-1,0,227990,0,1,-1,50,0,2,4,0,1,0,0,12043,0,2,926,450,0,1,69,1,67,68,69,-8,1,67,0,-1,67,0,0,0,227990,262720,0,227990,0,0,0,0,0,4,227990,7,110242,0,4211264,0,0,0,172716,0,0,227990,0,0,0,4,0,68,130,5,1,189661,0,227990,2,1,0,0,316,0,-1,525376,68
110313,18,199,2500,255,1,255,1968,1,240,1,36,1,53,18,1,1,1,255,1,Accrington Stanley,36,0,-1,0,167512,0,4,-1,50,0,2,4,0,1,0,0,5057,1,0,4,357,0,2,59,1,59,60,60,-2,2,57,0,-1,59,1,0,0,167512,263240,0,167512,0,0,0,0,0,2,167512,7,110313,0,4218952,0,0,0,167512,0,0,167512,0,0,0,3,0,59,135,9,0,241438,0,167512,2,1,0,0,316,0,-1,528456,61
110321,217,246,17000,179,1,1,1995,1,247,1,87,1,43,217,1,1,1,113,1,Pau FC,97,0,-1,0,225855,0,3,-1,30,0,2,4,0,1,0,0,4031,38,0,816,1809,0,1,66,3,67,68,67,0,2,65,1,-1,66,0,0,0,225855,4195584,0,225855,0,0,0,0,0,2,225855,2,110321,0,581888,0,0,0,234814,0,0,225855,0,0,0,4,0,66,103,8,1,225855,0,225855,2,1,0,0,316,0,-1,528640,69
110329,71,96,55100,255,71,255,1910,96,226,52,52,1,53,1,1,52,96,255,71,FC St. Pauli,26,0,-1,1,222369,0,2,-1,30,0,1,4,0,6,0,0,29546,0,1,205,28,0,1,70,1,69,68,71,9,3,70,1,-1,70,1,0,0,222369,4202496,1,222369,0,0,0,0,0,3,222369,4,110329,0,544768,0,0,0,211378,0,0,222369,0,0,0,4,0,70,113,8,1,234399,0,222369,2,2,0,0,316,0,-1,526336,68
110373,30,132,70000,250,76,250,1919,30,210,190,30,1,40,170,1,190,30,250,76,Salernitana,46,0,-1,0,225844,0,3,-1,30,0,2,4,0,5,0,0,31300,8,1,416,112124,0,1,68,3,69,68,67,14,2,68,1,-1,68,1,0,0,236368,4195328,1,225844,0,0,0,0,0,2,225844,4,110373,0,581632,0,0,0,236368,0,0,225844,0,0,0,4,0,69,169,4,1,225844,0,225844,2,1,0,0,316,0,-1,528384,67
110374,8,57,240000,250,8,250,1926,57,217,142,142,2,43,43,2,142,57,250,8,Fiorentina,38,0,-1,0,201389,0,6,-1,65,0,2,4,0,6,0,0,43147,39,1,162,45,0,1,77,1,78,77,77,11,3,76,1,-1,75,1,0,0,201389,135432,1,201389,0,0,0,0,6,4,201389,8,110374,0,149768,0,0,0,201389,0,0,201389,0,2,0,4,0,77,136,5,1,201389,0,201389,2,5,0,0,366,0,-1,264456,78
110395,40,117,45000,52,255,117,1915,255,255,255,52,2,-34,255,2,255,255,40,255,Lanús,255,0,-1,0,235467,0,5,-1,50,0,2,4,0,4,0,1,47027,0,0,262,110404,0,1,72,1,72,72,72,-58,2,72,1,-1,71,1,1,0,235467,263176,2,235467,0,0,0,0,0,3,235467,8,110395,1,4235272,0,0,0,214766,0,0,235467,0,2,0,1,0,72,129,4,-3,235467,0,235467,7,5,0,0,316,0,-1,528392,72
110396,1,1,24000,21,255,225,1903,255,2,255,1,1,-32,2,1,255,255,11,255,Newell's Old Boys,2,0,-1,0,178562,0,7,-1,50,0,1,4,0,7,0,1,42000,0,0,409,110580,0,1,67,3,70,67,71,-60,1,69,1,-1,70,1,1,0,178562,262680,2,178562,0,0,0,0,0,2,178562,8,110396,0,4227608,0,0,0,178562,1,0,178562,0,6,0,1,0,70,129,7,-3,253718,0,178562,7,4,0,0,316,0,-1,525336,71
110404,153,1,15300,255,255,255,1896,255,210,255,51,1,-34,97,1,255,255,255,255,Banfield,13,0,-1,0,239491,0,5,-1,50,0,1,4,0,3,0,1,34901,0,0,35,110395,0,1,67,3,68,67,69,-58,2,66,1,-1,66,1,1,0,239491,263496,2,239491,0,0,0,0,0,2,239491,6,110404,0,4219208,0,0,0,233780,1,0,239491,0,1,0,1,0,68,129,7,-3,261160,0,239491,7,2,0,0,316,0,-1,528712,69
110468,30,223,40000,168,120,59,1911,120,223,120,35,2,49,30,2,120,120,94,120,Viktoria Plzeň,35,0,-1,0,251221,0,9,-1,30,0,2,4,0,4,0,0,11700,0,1,699,266,0,1,73,1,72,73,71,13,2,71,1,-1,71,1,0,0,251221,4195392,0,251221,0,0,0,0,1,1,251221,4,110468,0,548928,0,0,1,251221,0,0,251221,0,6,0,5,0,72,141,6,1,247050,0,251221,2,3,0,0,316,0,-1,528448,71
110500,98,1,10472,1,93,255,1895,40,225,30,173,1,52,1,1,177,240,204,220,Eintracht Braunschweig,15,0,-1,0,251281,4,2,-1,30,0,2,4,2,4,0,0,23325,38,1,68,485,0,1,67,1,67,66,65,10,2,67,1,-1,69,1,0,0,251281,4195334,1,251281,0,0,0,0,0,2,251281,6,110500,0,532486,0,0,0,201860,1,0,251281,0,1,0,4,0,68,115,6,1,251961,0,251281,2,1,0,0,316,0,-1,528390,63
110501,254,254,2450,1,255,1,1924,255,240,185,254,1,51,240,1,255,185,1,185,SC Verl,240,0,-1,0,241900,0,3,-1,50,0,2,4,0,1,0,0,15000,0,1,820,487,0,1,64,1,62,63,64,8,1,61,1,-1,63,1,0,0,241900,262784,0,235253,0,0,0,0,0,2,235253,5,110501,0,4194944,0,0,0,276283,0,0,241900,0,0,0,4,0,64,123,8,1,255540,0,241900,2,1,0,0,316,0,-1,525440,64
110502,78,1,37980,255,180,255,1898,180,1,255,158,1,49,32,1,180,50,255,50,SV Darmstadt 98,91,0,-1,0,237540,0,7,-1,50,0,1,3,0,4,0,0,17810,3,1,132,1824,0,1,69,3,70,70,68,8,2,70,1,-1,69,1,0,0,251287,263168,1,251287,0,0,0,0,0,2,262604,2,110502,0,4218880,0,0,0,263575,1,0,237540,0,0,0,4,0,70,115,6,1,262604,0,237540,2,1,0,0,316,0,-1,528384,67
110532,66,1,3780,1,180,1,1907,180,255,10,146,1,49,255,1,180,10,1,10,SV Waldhof Mannheim,255,0,-1,0,204044,0,5,-1,50,0,2,4,3,3,0,0,25721,26,1,735,29,0,1,64,0,64,64,66,8,2,63,1,-1,65,1,0,0,204044,263248,1,204044,0,0,0,0,0,2,204044,5,110532,0,4218960,0,0,0,239181,0,0,204044,0,0,0,4,0,65,123,7,1,234901,0,204044,2,1,0,0,316,0,-1,528464,66
110556,2,197,150000,78,79,20,1893,39,250,101,7,2,44,250,2,101,39,33,79,Genoa,250,0,-1,0,236295,0,5,-1,30,0,2,4,0,5,0,0,36599,0,1,180,1837,0,1,73,1,74,74,74,8,3,72,1,-1,71,1,0,0,201144,4202501,1,201144,0,0,0,0,1,9,236295,6,110556,0,561157,0,0,0,201144,0,0,236295,0,9,0,4,0,73,136,5,1,235842,0,236295,2,3,0,0,316,0,-1,526341,75
110580,41,2,30000,1,255,249,1889,255,2,255,118,2,-32,41,2,255,255,200,255,Rosario Central,118,0,-1,0,238230,0,7,-1,50,0,2,4,0,6,0,1,39657,27,0,409,110396,0,1,71,0,72,73,71,-60,2,72,1,-1,71,1,1,0,238230,263304,2,238230,0,0,0,0,1,3,226798,8,110580,0,4251784,0,0,0,216033,0,0,238230,0,4,0,1,0,71,129,6,-3,165560,0,238230,7,4,0,0,316,0,-1,528520,71
110588,105,1,10115,116,210,1,1965,210,255,210,176,1,52,255,1,210,210,60,210,1. FC Magdeburg,255,0,-1,0,233520,0,3,-1,50,0,2,4,2,5,0,0,22000,0,1,612,503,0,1,68,1,69,69,67,11,1,72,1,-1,69,1,0,0,233520,262672,1,233520,0,0,0,0,0,2,233520,4,110588,0,4227600,0,0,0,228607,0,0,233520,0,0,0,4,0,68,115,6,1,234740,0,233520,2,1,0,0,316,0,-1,525328,67
110636,6,227,59300,255,1,255,1895,1,210,1,19,1,51,22,1,1,1,255,1,Fortuna Düsseldorf,35,0,-1,0,246814,0,8,-1,65,0,2,4,0,4,0,0,54600,1,1,147,31,0,1,70,1,69,69,70,6,1,68,1,-1,69,1,0,0,246550,131652,3,246814,0,0,0,0,2,8,202088,3,110636,0,148036,0,0,0,199779,1,0,246814,0,1,0,4,0,70,115,4,1,221168,0,246814,2,1,0,0,316,0,-1,263236,70
110645,40,255,4400,1,180,1,2010,180,255,180,50,1,50,255,1,180,180,1,180,Viktoria Köln,255,0,-1,0,240027,0,6,-1,30,0,2,4,3,2,0,0,10001,0,1,249,31,0,1,63,3,62,61,64,7,3,62,1,-1,63,1,0,0,240027,4202496,1,240027,0,0,0,0,0,3,216183,3,110645,0,561152,0,0,0,238963,0,0,240027,0,0,0,4,0,63,123,3,1,261653,0,240027,2,1,0,0,316,0,-1,526336,64
110676,230,255,5509,1,230,1,1909,230,245,230,1,1,51,255,1,230,230,1,230,Borussia Dortmund II,1,0,-1,0,263065,0,2,-1,50,0,2,4,0,1,0,0,9999,0,1,141,159,0,1,65,3,63,65,63,7,3,61,1,-1,62,1,0,0,224597,270336,0,269996,0,0,0,0,0,2,269996,10,110676,0,4231168,0,0,0,224597,0,0,224597,0,0,0,4,0,63,123,4,1,224597,0,224597,2,1,0,0,316,0,-1,526336,64
110683,255,255,1637,1,255,1,1896,255,1,255,255,1,52,157,1,255,255,1,255,Hannover 96 II,58,0,-1,0,263970,0,1,-1,30,0,2,4,0,1,0,0,2500,0,1,208,110500,0,1,60,3,59,58,59,9,1,60,1,-1,62,1,0,0,70985,4194816,0,72674,0,0,0,0,0,3,72674,10,110683,0,541184,0,0,0,233969,1,0,263970,0,0,0,4,0,61,123,10,1,266012,0,263970,2,1,0,0,316,0,-1,525312,59
110697,255,255,1800,41,255,211,1893,255,1,255,255,1,48,1,1,255,255,1,255,VfB Stuttgart II,1,0,-1,0,279623,4,1,-1,65,0,2,4,0,1,0,0,10000,0,1,466,110176,0,1,60,3,60,59,60,9,3,61,1,-1,61,1,0,0,73584,139264,0,279623,0,0,0,0,0,3,279623,10,110697,0,151552,0,0,0,234416,0,0,279623,0,0,0,4,0,60,123,7,1,279623,0,279623,2,1,0,0,316,0,-1,264192,60
110720,51,51,6500,255,160,255,1938,160,0,160,255,1,48,0,1,160,160,255,160,Blau-Weiß Linz,0,0,-1,0,210490,0,2,-1,30,0,2,4,0,1,0,0,5595,0,1,639,252,0,1,62,0,64,62,65,14,3,64,1,-1,64,1,0,0,224271,4202560,0,224271,0,0,0,0,0,4,224271,4,110720,0,544832,0,0,0,233435,0,0,224271,0,0,0,8,0,64,124,10,1,226958,0,224271,2,1,0,0,316,0,-1,526400,65
110724,232,255,30000,0,204,235,1904,202,1,206,0,1,51,1,1,206,202,13,204,KV Mechelen,1,0,-1,0,224252,0,5,-1,30,0,1,4,0,4,0,1,16672,0,1,309,100087,0,1,70,1,70,72,69,4,1,69,1,-1,67,1,0,0,224252,4194946,1,224252,0,0,0,0,2,3,224252,5,110724,0,541314,0,0,1,205369,1,0,224252,0,4,0,8,0,69,122,6,1,224252,0,224252,2,4,0,0,316,0,-1,525442,70
110738,30,30,25000,142,250,1,1909,250,250,250,30,1,43,250,1,250,250,69,250,Pisa,250,0,-1,0,240797,0,7,-1,50,0,2,4,0,3,0,0,9950,0,1,570,110374,0,1,70,3,68,68,67,10,1,66,0,-1,66,1,0,0,252313,262784,2,222959,0,0,0,0,0,4,222959,5,110738,0,4211328,0,0,0,199174,0,0,240797,0,0,0,4,0,69,169,4,1,268934,0,240797,2,1,0,0,316,0,-1,525440,67
110740,2,122,19000,35,30,225,1919,30,250,30,1,1,44,250,1,30,30,168,30,Reggiana,250,0,-1,0,230940,0,2,-1,50,0,2,4,0,2,0,0,21525,0,1,935,50,0,1,66,3,67,66,65,10,1,66,1,-1,66,1,0,0,230940,262720,0,236836,0,0,0,0,0,4,236836,1,110740,0,4194880,0,0,0,208942,0,0,230940,0,0,0,4,0,67,169,9,1,230940,0,230940,2,1,0,0,316,0,-1,525376,65
110745,9,240,12000,30,120,251,1920,120,224,120,3,1,53,39,1,120,120,222,120,Jagiellonia Białystok,45,0,-1,0,239267,0,7,-1,65,0,1,4,0,3,0,0,22372,0,1,50,1871,0,1,67,1,67,68,70,23,1,67,1,-1,68,1,0,0,251486,131586,1,242629,0,0,0,0,1,2,242629,6,110745,0,147970,0,0,1,224336,0,0,251486,0,1,0,5,0,67,127,6,1,239267,0,251486,2,3,0,0,316,0,-1,263170,70
110746,0,0,11900,0,30,128,1948,30,1,30,116,1,53,1,1,120,128,0,30,Pogoń Szczecin,1,0,-1,0,177922,0,4,-1,65,0,2,4,0,4,0,0,20500,9,1,473,110747,0,1,67,1,69,67,70,14,1,70,1,-1,67,0,0,0,177922,131728,0,177922,0,0,0,0,0,2,177922,8,110746,0,131728,0,0,1,177922,0,0,177922,0,0,0,5,0,67,127,7,1,177922,0,177922,2,3,0,0,316,0,-1,263312,74
110747,31,236,9500,255,255,255,1906,255,220,36,36,1,50,20,1,255,236,255,31,Cracovia,60,0,-1,0,225133,0,6,-1,30,0,2,4,0,3,0,0,15016,4,1,252,110746,0,1,66,1,66,67,69,19,2,65,1,-1,66,1,0,0,254333,4195398,0,254333,0,0,0,0,1,2,225133,5,110747,0,548934,0,0,0,235005,1,0,225133,0,5,0,5,0,66,127,7,1,245582,0,225133,2,2,0,0,316,0,-1,528454,69
110749,82,253,10700,255,120,255,1945,120,1,60,0,1,51,1,1,120,60,255,60,Zagłębie Lubin,1,0,-1,0,198046,0,4,-1,30,0,2,4,0,3,0,0,16086,0,1,288,111092,0,1,65,3,65,67,66,16,2,62,1,-1,63,0,0,0,198046,4195408,0,198046,0,0,0,0,0,2,198046,8,110749,0,565328,0,0,1,198046,1,0,198046,0,2,0,5,0,65,127,3,1,198046,0,198046,2,2,0,0,316,0,-1,528464,65
110750,255,255,4950,1,255,255,1945,255,30,255,255,1,46,30,1,255,255,1,255,UTA Arad,30,0,-1,0,276259,0,5,-1,30,0,2,4,0,3,0,0,12000,0,1,829,113378,0,1,65,3,64,65,64,21,3,63,1,-1,63,1,0,0,276259,4202514,0,276259,0,0,0,0,2,4,276259,5,110750,0,561170,0,0,0,236279,0,0,276259,0,6,0,5,0,64,24,7,2,276259,0,276259,2,1,0,0,316,0,-1,526354,63
110751,30,30,4300,255,255,255,1919,255,220,255,30,1,46,65,1,255,255,255,255,Universitatea Cluj,65,0,-1,0,212226,0,4,-1,50,0,2,4,0,4,0,0,30201,0,1,701,114385,0,1,67,1,67,67,65,23,1,66,1,-1,67,1,0,0,212226,262656,0,212226,0,0,0,0,1,2,212226,3,110751,0,4211200,0,0,0,212048,0,0,212226,0,0,0,5,0,66,24,5,2,212226,0,212226,2,1,0,0,316,0,-1,525312,69
110752,62,46,4000,255,220,255,2001,220,247,220,150,1,47,77,1,220,220,255,220,FC Botoșani,80,0,-1,0,251634,0,5,-1,50,0,2,4,0,3,0,0,7782,0,1,737,308,0,1,63,1,63,65,63,26,2,62,0,-1,63,1,0,0,251634,263424,0,251634,0,0,0,0,0,2,251634,5,110752,0,4235520,0,0,0,251635,0,0,251634,0,0,0,5,0,63,24,6,2,251634,0,251634,2,3,0,0,316,0,-1,528640,62
110765,1,1,10900,1,255,1,2003,255,255,255,255,1,37,255,1,255,1,1,1,Incheon United,255,0,-1,0,273800,0,4,-1,30,0,2,4,0,5,0,0,20300,0,1,225,982,0,1,67,1,66,67,70,126,3,64,1,-1,64,1,0,0,187858,4202560,1,273800,0,0,0,0,0,3,273797,7,110765,0,561216,0,0,0,207753,0,0,187858,0,0,0,2,0,66,38,7,9,223994,0,187858,4,2,0,0,316,0,-1,526400,70
110770,20,222,14500,255,255,255,1909,255,232,255,1,1,46,20,1,255,255,255,255,FC Sion,1,0,-1,0,243898,0,3,-1,50,0,2,4,0,3,0,0,14283,36,1,452,324,0,1,66,3,67,65,67,7,2,66,1,-1,66,1,0,0,243898,263189,0,243898,0,0,0,0,13,2,243898,3,110770,0,4218901,0,0,0,258412,0,0,243898,0,2,0,4,0,67,180,2,1,190058,0,243898,2,1,0,0,316,0,-1,528405,65
110776,1,1,19200,1,255,255,1988,255,255,255,1,1,37,255,1,255,255,50,255,Gaziantep FK,255,0,-1,0,211061,0,3,-1,50,0,2,4,0,2,0,0,33502,0,1,176,101028,0,1,69,0,71,72,72,37,1,67,1,-1,67,0,0,0,211061,262720,0,211061,0,0,0,0,0,4,211061,2,110776,0,4211264,0,0,0,211061,1,0,211061,0,0,0,1,0,69,179,10,3,211061,0,211061,9,1,0,0,316,0,-1,525376,72
110815,255,255,3300,188,255,1,2010,255,1,255,255,1,47,1,1,255,255,120,255,Politehnica Iași,1,0,-1,0,275225,0,2,-1,50,0,2,4,0,3,0,0,11500,0,1,742,110752,0,1,64,3,63,64,62,27,1,63,1,-1,63,1,0,0,275225,262720,0,275225,0,0,0,0,0,2,275225,4,110815,0,4227648,0,0,0,244474,0,0,275225,0,0,0,5,0,63,24,6,2,275225,0,275225,2,1,0,0,316,0,-1,525376,62
110827,75,25,3900,255,255,255,1926,255,233,255,200,2,43,233,2,255,255,255,255,Real Oviedo,255,0,-1,0,146562,4,6,-1,65,0,2,4,0,4,0,0,30800,0,2,363,459,0,1,71,1,70,70,70,-5,1,69,0,-1,69,2,0,0,146562,131584,0,146562,0,0,0,0,0,4,146562,4,110827,0,147968,0,0,0,146562,0,0,146562,0,0,0,4,0,71,130,4,1,146562,0,146562,2,1,0,0,316,0,-1,263168,68
110832,0,255,50000,255,255,255,1931,255,222,255,0,1,37,0,1,255,255,255,255,Granada CF,0,0,-1,0,206545,0,2,-1,50,0,2,4,0,4,0,0,19436,0,2,193,449,0,1,71,1,71,71,73,-3,3,71,2,-1,71,2,0,0,233222,270672,1,245131,0,0,0,0,0,2,245131,5,110832,0,4198736,0,0,0,222041,0,0,206545,0,0,0,4,0,71,130,6,1,261204,0,206545,2,1,0,0,316,0,-1,526672,73
110839,70,40,4500,85,255,155,1960,255,240,255,175,1,42,240,1,255,255,55,255,SD Huesca,255,0,-1,0,190199,0,6,-1,50,0,2,4,0,2,0,0,9100,0,2,222,244,0,1,67,1,68,68,67,0,2,68,2,-1,68,2,0,0,190199,263426,1,229654,0,0,0,0,0,4,229654,3,110839,0,4219138,0,0,0,200519,0,0,190199,0,0,0,4,0,68,130,4,1,246276,0,190199,2,1,0,0,316,0,-1,528642,67
110890,20,235,2300,255,95,255,1896,1,235,60,20,1,51,20,1,60,1,255,95,Crawley Town,20,0,-1,0,252970,0,1,-1,50,0,1,4,0,1,0,0,6134,13,0,123,112259,0,2,63,1,62,62,62,0,1,63,0,-1,62,0,0,0,256070,262792,0,252970,0,0,0,0,0,1,256070,2,110890,0,4194952,0,0,1,246243,0,0,256070,0,0,0,3,0,62,135,4,0,252970,0,252970,2,1,0,0,316,0,-1,525448,63
110908,204,253,21000,20,248,247,1929,249,250,248,29,1,39,250,1,248,249,27,248,Catanzaro,250,0,-1,0,224506,0,3,-1,30,0,2,4,0,2,0,0,14650,0,1,936,112168,0,1,66,3,68,66,68,17,1,66,1,-1,66,1,0,0,224506,4194816,0,224506,0,0,0,0,0,3,224506,4,110908,0,557568,0,0,0,209613,0,0,224506,0,0,0,4,0,67,169,8,1,209613,0,224506,2,1,0,0,316,0,-1,525312,70
110915,250,250,5000,30,250,30,1940,250,250,250,250,1,44,250,1,250,250,30,250,Cesena,250,0,-1,0,251769,0,1,-1,50,0,1,4,0,1,0,0,23860,0,1,99,189,0,1,67,15,68,68,67,12,2,68,1,-1,68,1,0,0,251769,263424,0,72850,0,0,0,0,0,2,204775,5,110915,0,4219136,0,0,0,202513,0,0,251769,0,0,0,4,0,68,169,6,1,72852,0,251769,2,1,0,0,316,0,-1,528640,68
110953,48,225,7500,255,255,255,1918,255,1,255,42,1,-31,1,1,255,255,255,255,Instituto de Córdoba,1,0,-1,0,242342,0,1,-1,65,0,2,4,0,3,0,2,30000,0,0,120,111022,0,1,69,0,69,69,70,-64,3,67,1,-1,67,1,1,0,242342,139264,0,242342,0,0,0,0,0,2,251212,3,110953,0,151552,0,0,0,228959,1,0,242342,0,0,0,1,0,69,129,7,-3,272912,0,242342,7,1,0,0,316,0,-1,264192,70
110955,78,5,11450,1,1,204,1993,204,255,159,159,1,31,255,1,1,5,1,78,Shanghai Shenhua,255,0,-1,0,210377,0,7,-1,30,0,1,4,0,4,0,0,72000,0,1,446,112540,0,1,68,1,68,68,72,121,3,68,0,-1,68,0,0,0,210377,4202624,0,210377,0,0,0,0,4,3,210377,4,110955,0,577664,0,0,0,217153,1,0,210377,0,3,0,2,0,68,156,4,8,246093,0,210377,4,3,0,0,316,0,-1,526464,72
110968,164,60,16400,124,169,8,1925,169,250,250,220,1,-16,250,1,169,250,70,250,Bolívar,250,0,-1,0,247885,0,10,-1,65,0,2,4,0,5,0,0,41143,0,0,770,110969,0,1,67,12,67,67,69,-68,1,64,1,-1,64,0,1,0,247885,131728,0,247885,0,0,0,0,2,4,247885,6,110968,0,148112,0,0,0,241131,0,0,247885,0,30,0,1,0,67,74,3,-4,245079,0,247885,7,5,0,0,316,0,-1,263312,69
110969,196,241,14600,30,250,30,1908,250,242,250,39,1,-16,180,1,250,250,30,250,The Strongest,6,0,-1,0,200120,0,9,-1,30,0,2,0,0,5,0,0,41143,0,0,770,110968,0,1,65,3,66,65,65,-68,3,64,0,-1,64,1,1,0,200120,4202752,2,200120,0,0,0,0,1,2,200120,4,110969,0,561408,0,0,0,236241,1,0,200120,0,16,0,1,0,66,74,2,-4,200120,0,200120,7,4,0,0,316,0,-1,526592,65
110974,14,226,13500,128,255,0,1949,255,250,255,14,1,-17,250,1,255,255,64,255,Jorge Wilstermann,250,0,-1,0,241115,0,7,-1,30,0,2,0,0,5,0,1,32000,0,0,777,110968,0,1,64,1,65,64,69,-66,2,65,1,-1,65,0,0,0,241115,4195648,1,241115,0,0,0,0,0,2,241115,3,110974,0,549184,0,0,0,234372,1,0,241115,0,15,0,1,0,65,74,5,-4,259793,0,241115,7,2,0,0,316,0,-1,528704,69
110975,250,250,36500,200,249,54,1937,248,255,249,250,1,-33,0,1,249,248,112,249,Universidad Católica,0,0,-1,0,215155,0,9,-1,50,0,2,4,0,6,0,1,14118,0,1,263,110980,0,1,68,3,68,68,70,-70,1,68,0,-1,68,1,1,0,215155,262658,0,219605,0,0,0,0,4,2,219605,7,110975,0,4211202,0,0,0,232670,1,0,215155,0,16,0,1,0,68,74,1,-4,232670,0,215155,7,6,0,0,316,0,-1,525314,70
110978,120,232,15000,250,249,250,1979,248,18,249,20,1,-22,153,1,249,248,250,249,Cobresal,81,0,-1,0,214429,0,3,-1,30,0,2,4,0,1,0,0,12102,0,0,152,110980,0,1,65,3,65,65,65,-68,1,63,1,-1,63,1,0,0,214429,4195136,0,214429,0,0,0,0,1,6,214429,3,110978,0,541504,0,0,1,215042,0,0,214429,0,1,0,1,0,65,74,8,-3,214429,0,214429,7,2,0,0,316,0,-1,525632,65
110980,255,255,44200,1,249,1,1925,248,215,249,255,1,-33,0,1,249,248,1,249,Colo-Colo,0,0,-1,0,242971,0,10,-1,65,0,2,4,0,7,0,1,47347,29,1,294,110975,0,1,71,3,70,71,69,-70,1,70,1,-1,70,1,1,0,242971,131968,0,242971,0,0,1,0,14,5,71013,8,110980,0,164736,0,0,0,214294,0,0,242971,0,33,0,1,0,70,74,2,-4,242971,0,242971,7,6,0,0,316,0,-1,263552,69
